pcwb_product_code,recycler,harddrive,image,ram,spider,TelevisionDisplayFormat,monitoredcategory,meta,TelevisionHDR10,dburls,images,availability,sku3,sku2,category,title,TVTunerDigitalTVTuner,numberofdeals,processormodel,image_srcx,monitoredattribute,html,imagebrightness,TelevisionDiagonalSize,price,stock,files,sku,description,ean,brand,monitoredattribute2,image_urls,breadcrumb,file_urls,date,TelevisionType,product_title,slotsqty,url,europrice,emptyslots,server,project,ip,image_url,useragent,model,processor
,,,,,,,,,,,,,,,,"Laura Ashley Dark Seaspray Eggshell Emulsion paint, 750ml",,,,,,,,,"£,24",1,,5011583473988,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Laura Ashley Sugared Grey White Eggshell Emulsion paint, 750ml",,,,,,,,,"£,24",1,,5011583473735,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Laura Ashley Chalk Blue Eggshell Emulsion paint, 750ml",,,,,,,,,"£,24",1,,5011583473957,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Laura Ashley Steel Eggshell Emulsion paint, 750ml",,,,,,,,,"£,24",1,,5011583473667,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Laura Ashley Slate Matt Emulsion paint, 2.5L",,,,,,,,,"£,38",1,,5011583472387,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Laura Ashley Fern Matt Emulsion paint, 2.5L",,,,,,,,,"£,38",1,,5011583472462,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Laura Ashley Dusk Seaspray Eggshell Emulsion paint, 750ml",,,,,,,,,"£,24",1,,5011583473995,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Laura Ashley Pale Chalk Pink Eggshell Emulsion paint, 750ml",,,,,,,,,"£,24",1,,5011583474039,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Laura Ashley Pale Charcoal Eggshell Emulsion paint, 750ml",,,,,,,,,"£,24",1,,5011583473674,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Laura Ashley Soft Silver Matt Emulsion paint, 2.5L",,,,,,,,,"£,38",1,,5011583472318,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Laura Ashley Natural Eggshell Emulsion paint, 750ml",,,,,,,,,"£,24",1,,5011583473551,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Laura Ashley Pure White Matt Emulsion paint, 2.5L",,,,,,,,,"£,38",1,,5011583472004,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Laura Ashley Grape Matt Emulsion paint, 2.5L",,,,,,,,,"£,38",1,,5011583472677,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Laura Ashley Gold Matt Emulsion paint, 2.5L",,,,,,,,,"£,38",1,,5011583472110,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Laura Ashley Linen Eggshell Emulsion paint, 750ml",,,,,,,,,"£,24",1,,5011583473469,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Laura Ashley Pale Hedge Eggshell Emulsion paint, 750ml",,,,,,,,,"£,24",1,,5011583473834,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Laura Ashley Dark Slate Matt Emulsion paint, 2.5L",,,,,,,,,"£,38",1,,5011583472394,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Laura Ashley Sugared Grey Eggshell Emulsion paint, 750ml",,,,,,,,,"£,24",1,,5011583473742,,,,,,,,,,,,,,,,,,,,,
