pcwb_product_code,recycler,harddrive,image,ram,spider,TelevisionDisplayFormat,monitoredcategory,meta,TelevisionHDR10,dburls,images,availability,sku3,sku2,category,title,TVTunerDigitalTVTuner,numberofdeals,processormodel,image_srcx,monitoredattribute,html,imagebrightness,TelevisionDiagonalSize,price,stock,files,sku,description,ean,brand,monitoredattribute2,image_urls,breadcrumb,file_urls,date,TelevisionType,product_title,slotsqty,url,europrice,emptyslots,server,project,ip,image_url,useragent,model,processor
,,,,,appliancecity,,,,,,,,,,,Stainless Steel Downdraft Cooker Hoods - Appliance City,,,,,,,,,,,,,,,,,,,,2022-01-05 18:12:29,,,,https://www.appliancecity.co.uk/extraction/downdraft-hoods/stainless-steel/,,,BID002464,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",,
,,,,,appliancecity,,,,,,,,,,,Burgundy Freestanding Cookers - Appliance City,,,,,,,,,,,,,,,,,,,,2022-01-05 18:12:29,,,,https://www.appliancecity.co.uk/cooking/freestanding-cookers/burgundy/,,,BID002464,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",,
,,,,,appliancecity,,,,,,,,,,,Miele Integrated Cooker Hoods - Appliance City,,,,,,,,,,,,,,,,,,,,2022-01-05 18:12:29,,,,https://www.appliancecity.co.uk/extraction/integrated-hoods/miele/,,,BID002464,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",,
,,,,,appliancecity,,,,,,,,,,,Blue Freestanding Fridges - Appliance City,,,,,,,,,,,,,,,,,,,,2022-01-05 18:12:29,,,,https://www.appliancecity.co.uk/refrigeration/fridges/freestanding-fridges/blue/,,,BID002464,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",,
,,,,,appliancecity,,,,,,,,,,,Samsung Washer Dryers - Appliance City,,,,,,,,,,,,,,,,,,,,2022-01-05 18:12:30,,,,https://www.appliancecity.co.uk/laundry/washer-dryers/samsung/,,,BID002464,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",,
,,,,,appliancecity,,,,,,,,,,,Orange Range Cookers - Appliance City,,,,,,,,,,,,,,,,,,,,2022-01-05 18:12:30,,,,https://www.appliancecity.co.uk/cooking/range-cookers/orange/,,,BID002464,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",,
,,,,,appliancecity,,,,,,,,,,,50cm Freestanding Fridges - Appliance City,,,,,,,,,,,,,,,,,,,,2022-01-05 18:12:30,,,,https://www.appliancecity.co.uk/refrigeration/fridges/freestanding-fridges/50cm/,,,BID002464,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",,
,,,,,appliancecity,,,,,,,,,,,Aluminum Hobs - Appliance City,,,,,,,,,,,,,,,,,,,,2022-01-05 18:12:30,,,,https://www.appliancecity.co.uk/cooking/hobs/aluminium/,,,BID002464,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",,
,,,,,appliancecity,,,,,,,,,,,Neff Conventional Cooker Hoods - Appliance City,,,,,,,,,,,,,,,,,,,,2022-01-05 18:12:30,,,,https://www.appliancecity.co.uk/extraction/conventional-hoods/neff/,,,BID002464,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",,
,,,,,appliancecity,,,,,,,,,,,Hoover Washer Dryers | Laundry Appliances - Appliance City,,,,,,,,,,,,,,,,,,,,2022-01-05 18:12:30,,,,https://www.appliancecity.co.uk/laundry/washer-dryers/hoover/,,,BID002464,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",,
